,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2020-01-01T06:35:02.000000000Z,0,2020-01-28T17:35:02.000000000Z,9,2020-02-04T17:35:02.000000000Z,2,2020-01-01T06:35:02.000000000Z,0,2020-01-03T10:15:02.000000000Z,2,2020-01-05T14:55:02.000000000Z,7,2020-01-01T06:25:02.000000000Z,0,2020-01-01T06:30:02.000000000Z,0,2020-01-01T06:35:02.000000000Z,0,2020-02-18T17:35:02.000000000Z
1,2020-01-01T06:40:03.000000000Z,0,2020-01-28T17:40:02.000000000Z,9,2020-02-04T17:40:02.000000000Z,2,2020-01-01T06:40:03.000000000Z,0,2020-01-03T10:20:02.000000000Z,3,2020-01-05T15:00:02.000000000Z,7,2020-01-01T06:30:02.000000000Z,0,2020-01-01T06:35:02.000000000Z,0,2020-01-01T06:40:03.000000000Z,0,2020-02-18T17:40:02.000000000Z
2,2020-01-01T06:45:02.000000000Z,0,2020-01-28T17:45:02.000000000Z,9,2020-02-04T17:45:02.000000000Z,2,2020-01-01T06:45:02.000000000Z,0,2020-01-03T10:25:02.000000000Z,3,2020-01-05T15:05:03.000000000Z,7,2020-01-01T06:35:02.000000000Z,0,2020-01-01T06:40:03.000000000Z,0,2020-01-01T06:45:02.000000000Z,0,2020-02-18T17:45:02.000000000Z
3,2020-01-01T06:50:02.000000000Z,0,2020-01-28T17:50:02.000000000Z,10,2020-02-04T17:50:02.000000000Z,2,2020-01-01T06:50:02.000000000Z,0,2020-01-03T10:30:02.000000000Z,4,2020-01-05T15:10:02.000000000Z,6,2020-01-01T06:40:03.000000000Z,0,2020-01-01T06:45:02.000000000Z,0,2020-01-01T06:50:02.000000000Z,0,2020-02-18T17:50:02.000000000Z
4,2020-01-01T06:55:02.000000000Z,0,2020-01-28T17:55:02.000000000Z,10,2020-02-04T17:55:02.000000000Z,2,2020-01-01T06:55:02.000000000Z,0,2020-01-03T10:35:02.000000000Z,4,2020-01-05T15:15:02.000000000Z,6,2020-01-01T06:45:02.000000000Z,0,2020-01-01T06:50:02.000000000Z,0,2020-01-01T06:55:02.000000000Z,0,2020-02-18T17:55:02.000000000Z
5,2020-01-01T07:00:02.000000000Z,0,2020-01-28T18:00:02.000000000Z,10,2020-02-04T18:00:02.000000000Z,2,2020-01-01T07:00:02.000000000Z,0,2020-01-03T10:40:02.000000000Z,4,2020-01-05T15:20:02.000000000Z,6,2020-01-01T06:50:02.000000000Z,0,2020-01-01T06:55:02.000000000Z,0,2020-01-01T07:00:02.000000000Z,0,2020-02-18T18:00:02.000000000Z
6,2020-01-01T07:05:02.000000000Z,0,2020-01-28T18:05:02.000000000Z,10,2020-02-04T18:05:02.000000000Z,2,2020-01-01T07:05:02.000000000Z,0,2020-01-03T10:45:02.000000000Z,4,2020-01-05T15:25:02.000000000Z,6,2020-01-01T06:55:02.000000000Z,0,2020-01-01T07:00:02.000000000Z,0,2020-01-01T07:05:02.000000000Z,0,2020-02-18T18:05:02.000000000Z
7,2020-01-01T07:10:02.000000000Z,0,2020-01-28T18:10:02.000000000Z,11,2020-02-04T18:10:02.000000000Z,2,2020-01-01T07:10:02.000000000Z,0,2020-01-03T10:50:02.000000000Z,4,2020-01-05T15:30:02.000000000Z,6,2020-01-01T07:00:02.000000000Z,0,2020-01-01T07:05:02.000000000Z,0,2020-01-01T07:10:02.000000000Z,0,2020-02-18T18:10:02.000000000Z
8,2020-01-01T07:15:02.000000000Z,0,2020-01-28T18:15:02.000000000Z,11,2020-02-04T18:15:02.000000000Z,2,2020-01-01T07:15:02.000000000Z,0,2020-01-03T10:55:02.000000000Z,4,2020-01-05T15:35:02.000000000Z,6,2020-01-01T07:05:02.000000000Z,0,2020-01-01T07:10:02.000000000Z,0,2020-01-01T07:15:02.000000000Z,0,2020-02-18T18:15:02.000000000Z
9,2020-01-01T07:20:02.000000000Z,0,2020-01-28T18:20:02.000000000Z,11,2020-02-04T18:20:02.000000000Z,2,2020-01-01T07:20:02.000000000Z,0,2020-01-03T11:00:02.000000000Z,4,2020-01-05T15:40:02.000000000Z,6,2020-01-01T07:10:02.000000000Z,0,2020-01-01T07:15:02.000000000Z,0,2020-01-01T07:20:02.000000000Z,0,2020-02-18T18:20:02.000000000Z
