,Original Time,k-3-q,k-2-q,k-1-q,Occupancy,Occupancy Time
0,2020-01-01 06:25:02,0.45,0.45,0.45,0.475,2020-01-01 06:50:02
1,2020-01-01 06:30:02,0.45,0.45,0.45,0.475,2020-01-01 06:55:02
2,2020-01-01 06:35:02,0.45,0.45,0.475,0.45,2020-01-01 07:00:02
3,2020-01-01 06:40:03,0.45,0.475,0.475,0.45,2020-01-01 07:05:02
4,2020-01-01 06:45:02,0.475,0.475,0.475,0.45,2020-01-01 07:10:02
5,2020-01-01 06:50:02,0.475,0.475,0.45,0.475,2020-01-01 07:15:02
6,2020-01-01 06:55:02,0.475,0.45,0.45,0.475,2020-01-01 07:20:02
7,2020-01-01 07:00:02,0.45,0.45,0.45,0.475,2020-01-01 07:25:02
8,2020-01-01 07:05:02,0.45,0.45,0.475,0.475,2020-01-01 07:30:02
9,2020-01-01 07:10:02,0.45,0.475,0.475,0.475,2020-01-01 07:35:02
10,2020-01-01 07:15:02,0.475,0.475,0.475,0.475,2020-01-01 07:40:02
11,2020-01-01 07:20:02,0.475,0.475,0.475,0.475,2020-01-01 07:45:02
12,2020-01-01 07:25:02,0.475,0.475,0.475,0.475,2020-01-01 07:50:02
13,2020-01-01 07:30:02,0.475,0.475,0.475,0.45,2020-01-01 07:55:02
14,2020-01-01 07:35:02,0.475,0.475,0.475,0.45,2020-01-01 08:00:02
15,2020-01-01 07:40:02,0.475,0.475,0.475,0.45,2020-01-01 08:05:02
16,2020-01-01 07:45:02,0.475,0.475,0.45,0.45,2020-01-01 08:10:02
17,2020-01-01 07:50:02,0.475,0.45,0.45,0.45,2020-01-01 08:15:02
18,2020-01-01 07:55:02,0.45,0.45,0.45,0.45,2020-01-01 08:20:02
19,2020-01-01 08:00:02,0.45,0.45,0.45,0.45,2020-01-01 08:25:02
20,2020-01-01 08:05:02,0.45,0.45,0.45,0.45,2020-01-01 08:30:02
21,2020-01-01 08:10:02,0.45,0.45,0.45,0.475,2020-01-01 08:35:02
22,2020-01-01 08:15:02,0.45,0.45,0.45,0.475,2020-01-01 08:40:02
23,2020-01-01 08:20:02,0.45,0.45,0.45,0.475,2020-01-01 08:45:02
24,2020-01-01 08:25:02,0.45,0.45,0.475,0.475,2020-01-01 08:50:02
25,2020-01-01 08:30:02,0.45,0.475,0.475,0.475,2020-01-01 08:55:02
26,2020-01-01 08:35:02,0.475,0.475,0.475,0.475,2020-01-01 09:00:02
27,2020-01-01 08:40:02,0.475,0.475,0.475,0.45,2020-01-01 09:05:02
28,2020-01-01 08:45:02,0.475,0.475,0.475,0.45,2020-01-01 09:10:01
29,2020-01-01 08:50:02,0.475,0.475,0.475,0.45,2020-01-01 09:15:02
30,2020-01-01 08:55:02,0.475,0.475,0.45,0.45,2020-01-01 09:20:02
31,2020-01-01 09:00:02,0.475,0.45,0.45,0.45,2020-01-01 09:25:02
32,2020-01-01 09:05:02,0.45,0.45,0.45,0.45,2020-01-01 09:30:02
