TIME,AVAILABLE BIKES,TIME,DAY_OF_WEEK,k-3-q-TIME,k-3-q,k-6-q-TIME,k-6-q,k-9-q-TIME,k-9-q,k-3d-TIME,k-3d,k-2d-TIME,k-2d,k-1d-TIME,k-1d,k-1w-TIME,k-1w,k-2w-TIME,k-2w,k-3w-TIME,k-3w,OCCUPANCY FUTURE TIME,OCCUPANCY_FUTURE
2020-02-18 00:00:02,3,2020-02-18 00:00:02,1,2020-02-17 22:45:03,5.0,2020-02-17 22:30:02,4.0,2020-02-17 22:15:02,4.0,2020-02-20 00:00:02,0.0,2020-02-21 00:00:02,0.0,2020-02-24 00:00:02,19.0,2020-02-18 00:00:02,3,2020-02-11 00:00:02,3.0,2020-02-04 00:00:02,2.0,2020-02-25 00:00:02,1.0
2020-02-18 00:05:02,3,2020-02-18 00:05:02,1,2020-02-17 22:50:02,5.0,2020-02-17 22:35:02,4.0,2020-02-17 22:20:01,4.0,2020-02-20 00:05:02,0.0,2020-02-21 00:05:03,0.0,2020-02-24 00:05:02,19.0,2020-02-18 00:05:02,3,2020-02-11 00:05:02,3.0,2020-02-04 00:05:02,2.0,2020-02-25 00:05:02,1.0
2020-02-18 00:10:02,3,2020-02-18 00:10:02,1,2020-02-17 22:55:02,5.0,2020-02-17 22:40:02,4.0,2020-02-17 22:25:02,4.0,2020-02-20 00:10:02,0.0,2020-02-21 00:10:03,0.0,2020-02-24 00:10:02,19.0,2020-02-18 00:10:02,3,2020-02-11 00:10:02,3.0,2020-02-04 00:10:02,2.0,2020-02-25 00:10:02,1.0
2020-02-18 00:15:02,3,2020-02-18 00:15:02,1,2020-02-17 23:00:02,5.0,2020-02-17 22:45:03,5.0,2020-02-17 22:30:02,4.0,2020-02-20 00:15:02,0.0,2020-02-21 00:15:02,0.0,2020-02-24 00:15:02,19.0,2020-02-18 00:15:02,3,2020-02-11 00:15:02,3.0,2020-02-04 00:15:02,2.0,2020-02-25 00:15:02,1.0
2020-02-18 00:20:02,3,2020-02-18 00:20:02,1,2020-02-17 23:05:02,5.0,2020-02-17 22:50:02,5.0,2020-02-17 22:35:02,4.0,2020-02-20 00:20:02,0.0,2020-02-21 00:20:02,0.0,2020-02-24 00:20:02,19.0,2020-02-18 00:20:02,3,2020-02-11 00:20:27,3.0,2020-02-04 00:20:02,3.0,2020-02-25 00:20:02,1.0
2020-02-18 00:25:02,3,2020-02-18 00:25:02,1,2020-02-17 23:10:02,5.0,2020-02-17 22:55:02,5.0,2020-02-17 22:40:02,4.0,2020-02-20 00:25:02,0.0,2020-02-21 00:25:02,0.0,2020-02-24 00:25:02,19.0,2020-02-18 00:25:02,3,2020-02-11 00:25:02,3.0,2020-02-04 00:25:02,3.0,2020-02-25 00:25:02,1.0
2020-02-18 00:30:02,3,2020-02-18 00:30:02,1,2020-02-17 23:15:02,4.0,2020-02-17 23:00:02,5.0,2020-02-17 22:45:03,5.0,2020-02-20 00:30:02,0.0,2020-02-21 00:30:02,0.0,2020-02-24 00:30:02,19.0,2020-02-18 00:30:02,3,2020-02-11 00:30:02,3.0,2020-02-04 00:30:02,3.0,2020-02-25 00:30:02,1.0
2020-02-18 00:35:02,3,2020-02-18 00:35:02,1,2020-02-17 23:20:27,4.0,2020-02-17 23:05:02,5.0,2020-02-17 22:50:02,5.0,2020-02-20 00:35:02,0.0,2020-02-21 00:35:27,0.0,2020-02-24 00:35:02,19.0,2020-02-18 00:35:02,3,2020-02-11 00:35:02,3.0,2020-02-04 00:35:02,3.0,2020-02-25 00:35:02,1.0
2020-02-18 00:40:02,3,2020-02-18 00:40:02,1,2020-02-17 23:25:02,3.0,2020-02-17 23:10:02,5.0,2020-02-17 22:55:02,5.0,2020-02-20 00:40:02,0.0,2020-02-21 00:40:01,0.0,2020-02-24 00:40:02,19.0,2020-02-18 00:40:02,3,2020-02-11 00:40:02,3.0,2020-02-04 00:40:02,3.0,2020-02-25 00:40:02,1.0
2020-02-18 00:45:02,3,2020-02-18 00:45:02,1,2020-02-17 23:30:01,3.0,2020-02-17 23:15:02,4.0,2020-02-17 23:00:02,5.0,2020-02-20 00:45:03,0.0,2020-02-21 00:45:02,0.0,2020-02-24 00:45:02,19.0,2020-02-18 00:45:02,3,2020-02-11 00:45:02,3.0,2020-02-04 00:45:02,3.0,2020-02-25 00:45:02,1.0
